Tag,Solar(GWh),sunshine_duration,daylight_duration,shortwave_radiation_sum,Kumulierte_Leistung
2018-01-01,31.1,17997.857,29705.875,3.22,42215783.54599997
2018-01-02,17.2,5080.6562,29769.371,1.93,42244819.86699997
2018-01-03,13.8,5796.013,29838.088,1.9,42252712.76799997
2018-01-04,9.8,0.0,29912.12,0.76,42261067.71499997
2018-01-05,19.4,7545.06,29992.287,1.91,42271108.40099996
2018-01-06,30.8,13679.633,30078.527,2.64,42271493.875999965
2018-01-07,17.9,0.0,30170.61,1.74,42272364.265999965
2018-01-08,32.0,1709.4406,30268.303,2.35,42284848.08499996
2018-01-09,31.1,7098.228,30371.385,2.47,42296482.98399996
2018-01-10,39.9,18396.42,30479.625,3.84,42308932.61399996
2018-01-11,22.2,0.0,30592.787,1.76,42317219.18399996
2018-01-12,11.6,0.0,30710.656,2.06,42325431.79299996
2018-01-13,12.1,3845.2656,30833.002,2.44,42325661.49799996
2018-01-14,35.1,15932.967,30959.6,3.46,42325786.01799996
2018-01-15,31.9,15383.698,31090.234,2.91,42336712.654999964
2018-01-16,19.6,3311.467,31224.686,1.7,42355451.88199996
2018-01-17,19.9,16757.137,31362.74,3.79,42362774.30299996
2018-01-18,16.7,3070.6743,31504.191,1.38,42373234.679999955
2018-01-19,28.0,23528.416,31648.824,4.31,42379636.68599995
2018-01-20,15.8,2030.9949,31796.44,2.4,42380458.37699995
2018-01-21,19.3,12380.275,31946.834,3.16,42380635.40199995
2018-01-22,10.2,0.0,32099.816,1.1,42389735.22899995
2018-01-23,20.0,0.0,32255.186,1.44,42396313.59399995
2018-01-24,43.3,7783.3174,32413.08,2.47,42403209.70399995
2018-01-25,31.8,24921.943,32575.156,5.5,42410101.11399995
2018-01-26,29.2,21987.086,32741.445,4.9,42419975.23599995
2018-01-27,27.0,6431.9023,32911.67,3.2,42420851.020999946
2018-01-28,23.4,0.0,33085.562,1.17,42420942.26099995
2018-01-29,25.0,0.0,33262.85,2.47,42429467.902999945
2018-01-30,52.6,29179.373,33443.285,6.99,42446964.16599994
2018-01-31,32.6,10959.016,33626.598,2.66,42473397.10399994
2018-02-01,34.4,933.19446,33812.54,3.23,42487076.887999944
2018-02-02,40.2,16624.938,34000.875,4.94,42493958.965999946
2018-02-03,26.5,27382.564,34191.367,5.24,42494815.575999945
2018-02-04,27.6,22590.477,34383.78,5.35,42494826.89099994
2018-02-05,56.2,25340.742,34577.9,7.42,42524213.023999944
2018-02-06,70.1,28924.197,34773.492,8.34,42545042.19999994
2018-02-07,59.0,13610.917,34970.35,5.81,42550289.81399994
2018-02-08,54.6,20309.965,35168.266,5.89,42556250.09199994
2018-02-09,44.7,0.0,35367.03,3.5,42560049.48199994
2018-02-10,25.8,240.97551,35566.457,2.61,42560350.93699994
2018-02-11,30.1,5726.1934,35766.34,3.03,42560367.93699994
2018-02-12,50.0,30501.453,35966.484,6.62,42565549.31099994
2018-02-13,103.0,31913.287,36167.06,7.72,42571651.423999935
2018-02-14,119.7,23193.34,36369.88,8.21,42577210.78899994
2018-02-15,32.4,10157.873,36575.062,5.14,42594165.629999936
2018-02-16,75.6,19248.383,36782.406,6.2,42599656.41499993
2018-02-17,36.4,0.0,36991.7,2.72,42599929.88499993
2018-02-18,62.9,21517.598,37202.73,7.26,42600035.72999993
2018-02-19,62.1,28069.078,37415.316,9.14,42603897.21299993
2018-02-20,69.4,15134.774,37629.258,6.04,42612370.062999934
2018-02-21,96.8,32558.03,37844.37,11.47,42622966.58999994
2018-02-22,93.5,32574.54,38060.46,11.08,42628897.625999935
2018-02-23,111.5,33665.07,38277.36,11.79,42631909.43699993
2018-02-24,116.0,32607.162,38494.89,10.67,42632800.776999936
2018-02-25,128.8,34698.207,38712.867,12.53,42633322.886999935
2018-02-26,86.1,33377.35,38931.137,9.35,42648351.04299994
2018-02-27,103.3,27757.746,39149.52,9.99,42660399.452999935
2018-02-28,114.2,35422.145,39367.86,13.23,42667579.853999935
2018-03-01,116.5,35706.605,39585.99,11.43,42683184.88999993
2018-03-02,107.7,34709.72,39803.754,12.15,42685199.95499993
2018-03-03,81.3,20779.574,40020.992,7.17,42685400.08299993
2018-03-04,106.0,27887.822,40237.55,9.15,42685419.87299993
2018-03-05,110.2,28336.379,40453.574,11.0,42687908.88699993
2018-03-06,80.7,4526.7188,40670.766,6.96,42692060.318999924
2018-03-07,60.0,34079.152,40889.26,10.98,42700249.66399992
2018-03-08,98.4,37358.81,41108.92,10.7,42704571.74699992
2018-03-09,75.7,804.89386,41329.59,3.82,42709076.19699992
2018-03-10,59.1,20793.486,41551.13,8.29,42709659.44699992
2018-03-11,88.9,33156.58,41773.387,13.13,42709675.646999925
2018-03-12,52.1,3600.0,41996.223,3.6,42713194.576999925
2018-03-13,55.2,23823.977,42219.496,8.18,42716287.014999926
2018-03-14,75.4,1778.8148,42443.062,5.19,42721612.74899992
2018-03-15,114.5,38770.977,42666.785,15.58,42733822.19699992
2018-03-16,51.4,23424.354,42890.527,8.95,42737330.536999926
2018-03-17,55.7,4790.044,43114.145,6.47,42737697.186999924
2018-03-18,86.8,9843.697,43337.5,8.57,42737820.451999925
2018-03-19,125.7,39152.035,43560.457,16.2,42744497.51999993
2018-03-20,105.3,27886.725,43782.88,14.64,42750052.70999993
2018-03-21,142.9,36090.316,44004.62,13.65,42759161.75999992
2018-03-22,59.4,25145.865,44225.547,9.59,42765869.48999992
2018-03-23,47.1,3670.8909,44445.508,5.42,42772361.00399992
2018-03-24,152.5,39600.0,44664.37,15.31,42773076.678999916
2018-03-25,167.4,40806.73,44882.27,18.05,42773198.93399992
2018-03-26,76.8,29896.87,45100.75,8.64,42779887.91899992
2018-03-27,118.2,37726.418,45319.98,15.97,42797872.442999914
2018-03-28,48.8,1197.4203,45539.816,5.23,42808701.76399992
2018-03-29,100.3,36678.477,45760.15,11.8,42823116.88899992
2018-03-30,153.9,39127.234,45980.844,15.19,42824826.91499992
2018-03-31,78.2,8805.674,46201.766,7.66,42831046.44999991
2018-04-01,77.5,26616.162,46422.8,9.69,42832706.09999991
2018-04-02,159.9,39600.0,46643.81,16.02,42834284.65399991
2018-04-03,150.8,42316.066,46864.656,19.69,42837858.61999991
