Bruttoleistung,Tag,Solar(GWh),Kumulative_Leistung
6740.335,2018-01-01,31.1,6740.335
29036.321,2018-01-02,17.2,35776.656
7892.901,2018-01-03,13.8,43669.557
8354.947,2018-01-04,9.8,52024.504
10040.686,2018-01-05,19.4,62065.19
385.475,2018-01-06,30.8,62450.665
870.39,2018-01-07,17.9,63321.055
12483.819,2018-01-08,32.0,75804.874
11634.899,2018-01-09,31.1,87439.773
12449.63,2018-01-10,39.9,99889.403
8286.57,2018-01-11,22.2,108175.973
8212.609,2018-01-12,11.6,116388.582
229.705,2018-01-13,12.1,116618.287
124.52,2018-01-14,35.1,116742.807
10926.637,2018-01-15,31.9,127669.444
18739.227,2018-01-16,19.6,146408.671
7322.421,2018-01-17,19.9,153731.092
10460.377,2018-01-18,16.7,164191.469
6402.006,2018-01-19,28.0,170593.475
821.6909999999999,2018-01-20,15.8,171415.166
177.025,2018-01-21,19.3,171592.191
9099.827,2018-01-22,10.2,180692.01799999998
6578.365,2018-01-23,20.0,187270.38299999997
6896.11,2018-01-24,43.3,194166.49299999996
6891.41,2018-01-25,31.8,201057.90299999996
9874.122,2018-01-26,29.2,210932.02499999997
875.785,2018-01-27,27.0,211807.80999999997
91.24,2018-01-28,23.4,211899.04999999996
8525.642,2018-01-29,25.0,220424.69199999995
17496.263,2018-01-30,52.6,237920.95499999996
26432.938,2018-01-31,32.6,264353.893
13679.784,2018-02-01,34.4,278033.67699999997
6882.078,2018-02-02,40.2,284915.75499999995
856.61,2018-02-03,26.5,285772.36499999993
11.315,2018-02-04,27.6,285783.67999999993
29386.132999999998,2018-02-05,56.2,315169.8129999999
20829.176,2018-02-06,70.1,335998.9889999999
5247.6140000000005,2018-02-07,59.0,341246.6029999999
5960.278,2018-02-08,54.6,347206.8809999999
3799.39,2018-02-09,44.7,351006.2709999999
301.455,2018-02-10,25.8,351307.7259999999
17.0,2018-02-11,30.1,351324.7259999999
5181.374,2018-02-12,50.0,356506.0999999999
6102.113,2018-02-13,103.0,362608.21299999993
5559.365,2018-02-14,119.7,368167.5779999999
16954.841,2018-02-15,32.4,385122.41899999994
5490.785,2018-02-16,75.6,390613.2039999999
273.47,2018-02-17,36.4,390886.6739999999
105.845,2018-02-18,62.9,390992.51899999985
